tool_id,tool_name,tool_type,manufacturer,date_logged,issue_category,issue_description,severity,frequency,downtime_hours,root_cause,resolution,resolved_date,sample_type,logged_by,notes
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-02-05,Beam,Beam blanker not responding intermittently,High,2,1.5,Electrical connector loose,Connector reseated,2025-02-05,Si wafer,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-02-12,Stage,XY stage position error on return to saved coords,Low,3,0.0,Stage mapping needed,Stage remapped,2025-02-12,Bulk Si,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-02-19,Vacuum,Chamber vented unexpectedly during run,Critical,1,4.0,Interlock fault — door sensor,Door sensor replaced,2025-02-20,TEM lamella,Jade,Sample lost — critical event
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-02-26,Detector,CBS detector image asymmetric,Medium,1,0.5,Detector physically rotated,Detector repositioned,2025-02-26,Si wafer,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-03-05,Beam,Spot size inconsistent between sessions,Low,2,0.0,Aperture selector dirty,Aperture cleaned,2025-03-05,TEM lamella,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-03-12,Software,EDS software crash on export,Low,1,0.0,Software version conflict,Software updated,2025-03-12,GaN-on-Si wafer,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-03-19,Stage,Stage rotation limit error at 180 degrees,Medium,1,1.0,Limit switch misaligned,Limit switch adjusted,2025-03-20,Bulk Si,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-01-10,Vacuum,Cold trap needs refilling more frequently than expected,Low,4,0.0,High humidity in lab,Increased refill schedule,2025-01-10,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-01-17,Beam,Electron beam intensity fluctuating at high current,High,2,2.0,FEG tip contamination,FEG flashed,2025-01-18,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-01-24,Stage,Cryo holder temperature unstable,High,1,3.0,LN2 transfer line blocked,Line cleared,2025-01-25,Cryo lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-01-31,Detector,HAADF image shows horizontal banding artifact,Medium,2,1.0,Scan coil interference,Scan coil shielding checked,2025-02-01,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-02-07,Vacuum,Column vacuum degraded after sample exchange,Medium,2,1.5,Sample had residual solvent,Sample prep protocol updated,2025-02-08,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-02-14,Software,Velox software not saving metadata correctly,Low,1,0.0,Software bug,Workaround applied pending patch,2025-02-14,Si wafer,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-02-21,Beam,Diffraction pattern quality poor — astigmatism visible,Medium,3,0.5,Objective lens stigmators drifted,Stigmators corrected,2025-02-21,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-02-28,Stage,Alpha tilt limited to +/- 20 deg — spec is +/- 35,High,1,2.5,Stage insert damaged,Insert replaced,2025-03-01,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-03-07,Detector,EDS detector retraction fault,Medium,1,1.0,Actuator sticking,Actuator lubricated,2025-03-07,GaN-on-Si wafer,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-03-14,Vacuum,Turbo pump vibration transmitted to column,Low,2,0.0,Anti-vibration mount worn,Mount replaced,2025-03-14,TEM lamella,Jade,
TOOL_C,Talos F200X,TEM,Vendor Z,2025-03-21,Beam,Beam alignment lost after power interruption,High,1,3.5,Power blip in building,Full alignment procedure run,2025-03-22,TEM lamella,Jade,Building power event
